ID,name_of_agent,longitude,latitude,time_of_measure,NO2_concentration,O3_concentration,PM10_concentration,PM25_concentration
71,worker[145],902461.7437981435,6246818.754158553,date ('2021-05-27 07:50:55'),54.4131952073839,41.511944444444445,32.35819326506721,11.303194415569305
72,worker[145],902447.7283439019,6246799.753401511,date ('2021-05-27 07:51:00'),61.4649995803833,41.51,33.45000076293945,11.605000162124634
73,worker[145],902433.4028333618,6246781.015733504,date ('2021-05-27 07:51:05'),61.09222329457601,41.50805555555555,33.456945207383896,11.606805717945099
74,worker[145],902421.6102998257,6246760.6094496185,date ('2021-05-27 07:51:10'),60.50444379382663,41.50611111111111,33.36388764381409,11.608611273765565
75,worker[145],902414.3726297526,6246738.17630325,date ('2021-05-27 07:51:15'),60.51666601498922,41.50416666666666,33.370832085609436,11.610416829586029
76,worker[145],902413.256234595,6246714.842266216,date ('2021-05-27 07:51:20'),56.728888999091254,41.50222222222222,32.492222764756946,11.412222576141357
77,worker[145],902418.1609501301,6246691.808711183,date ('2021-05-27 07:51:25'),56.841109694374936,41.500277777777775,32.484722985161675,11.414028131961823
78,worker[145],902430.0262098755,6246671.585028781,date ('2021-05-27 07:51:30'),63.810832023620605,41.498333333333335,33.891665410995486,11.715833059946696
79,worker[145],902445.3321036081,6246653.6404985655,date ('2021-05-27 07:51:35'),81.41305729548137,41.49638888888889,37.25652788480123,12.603611221578387
80,worker[145],902465.6028443681,6246642.829734134,date ('2021-05-27 07:51:40'),69.86666382683649,41.49444444444444,35.29166661368476,12.105555666817558
81,worker[145],902488.4857676032,6246637.01600071,date ('2021-05-27 07:51:45'),75.61125020980835,41.506249999999994,36.68500142097473,12.407500302791595
82,worker[145],902511.0783514922,6246640.465572135,date ('2021-05-27 07:51:50'),64.84777666727702,41.49055555555555,34.605832778082956,11.923055911064148
83,worker[145],902533.2809926044,6246640.414557802,date ('2021-05-27 07:51:55'),66.44708089828491,41.50208333333333,34.91291534635756,11.924861466884613
84,worker[145],902548.2527763029,6246623.000498616,date ('2021-05-27 07:52:00'),78.51333465576172,41.5,37.493334197998045,12.613333447774252
85,worker[145],902570.7564192056,6246615.875797995,date ('2021-05-27 07:52:05'),64.7993057568868,41.49791666666666,34.82708328300052,11.928472578525543
86,worker[145],902593.1357773374,6246608.36944313,date ('2021-05-27 07:52:10'),73.60750132666693,41.40888888888889,36.03416737980313,12.317222272025214
87,worker[145],902614.8107831596,6246599.120592456,date ('2021-05-27 07:52:15'),69.7600001970927,41.406666666666666,35.84124995072683,12.13208349943161
88,worker[145],902636.042481335,6246588.793381247,date ('2021-05-27 07:52:20'),69.77333352830675,41.404444444444444,35.84833328458998,12.133889055252075
89,worker[145],902657.2339121319,6246578.384377065,date ('2021-05-27 07:52:25'),77.32347088919745,41.40222222222222,35.855416618453134,12.135694611072541
90,worker[145],902678.1117779231,6246567.374428877,date ('2021-05-27 07:52:30'),72.78750038146973,41.400000000000006,35.46249866485596,12.137500166893005
91,worker[145],902698.823018704,6246556.0373625355,date ('2021-05-27 07:52:35'),80.5268082300822,41.39777777777778,36.86958352194892,12.526944300863478
92,worker[145],902719.5187733864,6246544.672056925,date ('2021-05-27 07:52:40'),79.25333370632596,41.39555555555556,36.476665327284074,12.4288892004225
93,worker[145],902740.2125216766,6246533.303092609,date ('2021-05-27 07:52:45'),81.8312484741211,41.39333333333334,37.47166550954183,12.630833454926808
94,worker[145],902761.0562299722,6246522.230758864,date ('2021-05-27 07:52:50'),81.84583180745443,41.391111111111115,37.478887727525496,12.632777900165982
95,worker[145],902783.5825071724,6246515.26676441,date ('2021-05-27 07:52:55'),79.58403046925862,41.38888888888889,37.286112546920776,12.634722345405155
96,worker[145],902806.5471296295,6246509.77944418,date ('2021-05-27 07:53:00'),88.71666666666667,41.29833333333333,40.55833409627279,13.325
97,worker[145],902829.5117520867,6246504.292123951,date ('2021-05-27 07:53:05'),82.00110876295301,41.295972222222225,38.88902786572774,12.938611426618364
98,worker[145],902852.476374544,6246498.804803722,date ('2021-05-27 07:53:10'),76.66111416286893,41.305,37.40777769088745,12.640555681122674
99,worker[145],902875.4409970011,6246493.317483493,date ('2021-05-27 07:53:15'),71.82000126838685,41.3025,36.42624995708466,12.44250031709671
100,worker[145],902898.5117899888,6246488.31561431,date ('2021-05-27 07:53:20'),75.70000288221571,41.300000000000004,37.42222213745117,12.64444457160102
101,worker[145],902921.6910134606,6246483.820661143,date ('2021-05-27 07:53:25'),85.93694308598836,41.2975,41.00749872525533,13.435417048136394
102,worker[145],902944.7945961389,6246478.966581418,date ('2021-05-27 07:53:30'),81.29500102996826,41.295,39.92583341598511,13.237499618530274
103,worker[145],902967.8394187586,6246473.828401953,date ('2021-05-27 07:53:35'),75.8519456439548,41.292500000000004,38.34389033317566,12.850277818573845
104,worker[145],902990.9393199158,6246468.941773828,date ('2021-05-27 07:53:40'),69.62888768513997,41.29,36.66166718800863,12.452222543292576
105,worker[145],903014.039221073,6246464.055145703,date ('2021-05-27 07:53:45'),60.72499871253967,41.197916666666664,34.58958204587301,11.864583313465118
106,worker[145],903037.1391222302,6246459.168517578,date ('2021-05-27 07:53:50'),85.12083028157552,41.195277777777775,40.944999843173555,13.44583371480306
107,worker[145],903060.2390233874,6246454.2818894535,date ('2021-05-27 07:53:55'),88.91513919830322,41.19263888888889,41.052498706181844,13.447917048136393
108,worker[145],903083.4018580659,6246449.720088885,date ('2021-05-27 07:54:00'),81.57999877929687,41.19,39.47000007629394,13.05999984741211
109,worker[145],903106.6721142407,6246445.723806529,date ('2021-05-27 07:54:05'),80.00402792824639,41.18736111111111,39.17736194928487,12.96194476948844
110,worker[145],903130.167805986,6246443.5210165465,date ('2021-05-27 07:54:10'),76.64722114139133,41.18472222222222,38.69444513320923,12.863888925976223
111,worker[145],903153.7303873231,6246442.54951688,date ('2021-05-27 07:54:15'),74.67999862035116,41.18208333333333,37.50166659355163,12.665833469231924
112,worker[145],903177.3016006169,6246443.616148951,date ('2021-05-27 07:54:20'),75.09333347744412,41.17944444444444,38.308888053894044,12.867777813805475
113,worker[145],903200.7607709824,6246446.2817176115,date ('2021-05-27 07:54:25'),77.58805527157254,41.17680555555555,38.516111040115355,12.869722257720099
114,worker[145],903224.1998259502,6246449.12684457,date ('2021-05-27 07:54:30'),81.37416915893554,41.174166666666665,39.02333326339722,12.971666995684306
115,worker[145],903247.640221277,6246451.960999616,date ('2021-05-27 07:54:35'),82.3791693051656,41.171527777777776,38.93055701255798,12.973611440923479
116,worker[145],903271.0806166038,6246454.795154663,date ('2021-05-27 07:54:40'),77.52889014350043,41.17777777777778,37.446667989095054,12.67555569542779
117,worker[145],903294.5210119305,6246457.629309709,date ('2021-05-27 07:54:45'),76.5512511253357,41.175,36.75375056266785,12.3775000333786
118,worker[145],903318.1274544566,6246458.044749493,date ('2021-05-27 07:54:50'),78.45611390007866,41.172222222222224,36.960834662119545,12.48805592060089
119,worker[145],903341.701634901,6246456.724679692,date ('2021-05-27 07:54:55'),78.5781955824958,41.169444444444444,37.067916795942516,12.489861476421357
120,worker[145],903365.2758153453,6246455.404609892,date ('2021-05-27 07:55:00'),77.99166933695476,41.166666666666664,37.17499860127767,12.483333667119345
121,worker[145],903388.8499957897,6246454.0845400905,date ('2021-05-27 07:55:05'),79.20513913896349,41.16388888888889,37.87388806343078,12.785277427567376
122,worker[145],903412.4171775542,6246452.646513037,date ('2021-05-27 07:55:10'),79.21861135694715,41.16111111111111,37.88111028671265,12.787221871482002
123,worker[145],903435.6806597437,6246448.914548114,date ('2021-05-27 07:55:15'),81.61625140508016,41.15833333333333,38.888332509994505,12.989167002836863
124,worker[145],903458.4256066151,6246442.596964581,date ('2021-05-27 07:55:20'),73.77666642930772,41.15555555555556,37.103333452012805,12.491111448076037
125,worker[145],903481.1360464558,6246441.402663357,date ('2021-05-27 07:55:25'),64.45069291856554,41.15277777777778,35.31805631849501,12.100694239139557
126,worker[145],903499.0915876257,6246427.99518487,date ('2021-05-27 07:55:30'),79.26499977111817,41.15,37.909999179840085,12.794999647140504
127,worker[145],903521.5453442569,6246420.728525754,date ('2021-05-27 07:55:35'),74.51541395187378,41.147222222222226,36.924582682715524,12.396944472524854
128,worker[145],903544.5506329231,6246415.447821344,date ('2021-05-27 07:55:40'),62.99333197275797,41.144444444444446,35.04611252678765,12.006111478805542
129,worker[145],903567.932520982,6246412.165767306,date ('2021-05-27 07:55:45'),76.43416503270467,41.141666666666666,38.03166813850403,12.80083297888438
130,worker[145],903591.3144090408,6246408.88371327,date ('2021-05-27 07:55:50'),71.07499721315172,41.138888888888886,38.13888883590698,12.802777422799004
131,worker[145],903614.6962970997,6246405.601659232,date ('2021-05-27 07:55:55'),73.07388604482014,41.13611111111111,42.52569597032335,13.79791628519694
132,worker[145],903638.0781851585,6246402.319605194,date ('2021-05-27 07:56:00'),120.3066650390625,41.13333333333333,72.13333028157552,19.359999974568684
133,worker[145],903661.2683024908,6246397.886871366,date ('2021-05-27 07:56:05'),120.32319281895955,41.13055555555555,72.14513583713108,19.36291664176517
