ID,name_of_agent,longitude,latitude,time_of_measure,NO2_concentration,O3_concentration,PM10_concentration,PM25_concentration
64,worker[5],893069.7979435873,6246392.98981594,date ('2021-05-27 09:25:20'),71.65999967787,65.45333333333333,33.68222194247775,11.435555415683323
65,worker[5],893092.7104358175,6246396.072894246,date ('2021-05-27 09:25:25'),84.41736046473186,65.46666666666667,37.604167222976685,12.391666365994347
66,worker[5],893115.1299291927,6246403.479032558,date ('2021-05-27 09:25:30'),79.70499782562256,65.48,35.93750076293945,11.990000081062316
67,worker[5],893137.549422568,6246410.88517087,date ('2021-05-27 09:25:35'),71.0924996746911,65.45069444444445,33.55638932651944,11.430972084734176
68,worker[5],893159.9689159433,6246418.2913091825,date ('2021-05-27 09:25:40'),75.67055642869738,65.46388888888889,34.96222233242459,11.786666938993665
69,worker[5],893182.3884093185,6246425.697447495,date ('2021-05-27 09:25:45'),86.64624869028727,65.42,38.02458453178406,12.485000081857045
70,worker[5],893204.6686509629,6246433.494687751,date ('2021-05-27 09:25:50'),90.70555729336209,65.43333333333334,39.92916753556993,12.983333415455288
71,worker[5],893226.7261712858,6246441.915152186,date ('2021-05-27 09:25:55'),66.61847341855368,65.44666666666667,32.62194417582618,11.081666718588934
72,worker[5],893248.3409056058,6246451.416331613,date ('2021-05-27 09:26:00'),60.27333246866862,65.41666666666666,30.956665802001954,10.67999989191691
73,worker[5],893269.977151614,6246460.869219695,date ('2021-05-27 09:26:05'),61.266110049353706,65.37333333333333,31.14819434483846,10.77833360698488
74,worker[5],893291.5733145989,6246470.413170467,date ('2021-05-27 09:26:10'),60.94555575052897,65.38666666666667,30.93972136179606,10.676666559113396
75,worker[5],893313.4467586309,6246479.285556344,date ('2021-05-27 09:26:15'),61.63749861717224,65.4,30.987500429153442,10.775000274181366
76,worker[5],893335.2052789773,6246488.445830201,date ('2021-05-27 09:26:20'),60.36055641174316,65.41333333333333,30.522778373294408,10.673333226309882
77,worker[5],893356.8828429146,6246497.803596475,date ('2021-05-27 09:26:25'),61.195834705564714,65.37069444444444,30.81430538760291,10.671666559908125
78,worker[5],893370.6944947087,6246486.409169427,date ('2021-05-27 09:26:30'),70.25666599273681,65.38416666666667,32.81749881108602,11.214166728655497
79,worker[5],893380.7207691782,6246465.032584606,date ('2021-05-27 09:26:35'),70.23388821283976,65.39763888888889,32.80874881214566,11.212638951672448
80,worker[5],893401.9572042847,6246464.849582154,date ('2021-05-27 09:26:40'),70.51111348470052,65.36666666666667,32.79999881320529,11.26666694217258
81,worker[5],893425.2699849083,6246468.591082856,date ('2021-05-27 09:26:45'),74.12083028157552,65.38,34.04666751225789,11.565000041325886
82,worker[5],893448.5959319342,6246472.24670824,date ('2021-05-27 09:26:50'),78.22888804541694,65.39333333333333,35.548333162731595,11.863333037164477
83,worker[5],893471.9590759397,6246475.659627358,date ('2021-05-27 09:26:55'),87.86611279381646,65.40666666666667,39.20458359718323,12.86166637076272
84,worker[5],893487.4194106038,6246466.633422989,date ('2021-05-27 09:27:00'),87.84000167846679,65.42,39.19500026702881,12.859999704360963
85,worker[5],893496.1028139726,6246444.677721463,date ('2021-05-27 09:27:05'),79.61041651831732,65.43333333333334,35.42083382606506,11.913194358348846
86,worker[5],893504.9655302549,6246422.793096084,date ('2021-05-27 09:27:10'),79.98583471510145,65.44666666666667,35.91166715621948,12.056666702694363
87,worker[5],893513.8629262974,6246400.922689811,date ('2021-05-27 09:27:15'),74.4700005531311,65.46000000000001,34.79333340326945,11.809583298365276
88,worker[5],893522.9016378395,6246379.110164476,date ('2021-05-27 09:27:20'),81.12777625189887,65.47333333333333,36.638887363009985,12.153333229488796
89,worker[5],893531.9403493818,6246357.297639139,date ('2021-05-27 09:27:25'),74.5147213935852,65.48666666666666,35.929862636990016,12.051666699515449
90,worker[5],893540.9778553203,6246335.48461464,date ('2021-05-27 09:27:30'),76.44583320617676,65.5,36.066665967305504,12.104166388511658
91,worker[5],893550.003671245,6246313.66675006,date ('2021-05-27 09:27:35'),76.42263876597086,65.51333333333334,36.057777076297334,12.102360832691193
92,worker[5],893559.0324231362,6246291.850100744,date ('2021-05-27 09:27:40'),77.45333239237468,65.62666666666667,38.00277777777778,12.500555849075317
93,worker[5],893568.0669272096,6246270.035832385,date ('2021-05-27 09:27:45'),73.4000030517578,65.64,35.586250352859494,11.952500116825103
94,worker[5],893577.1014312829,6246248.221564025,date ('2021-05-27 09:27:50'),82.66749918195936,65.65333333333334,40.09194485346476,13.050555541780259
95,worker[5],893586.1367675929,6246226.407640361,date ('2021-05-27 09:27:55'),72.69514030880399,65.66666666666667,36.115277422799004,12.095138609409332
96,worker[5],893595.1721443142,6246204.593733435,date ('2021-05-27 09:28:00'),77.48666737874349,65.68,36.960000101725264,12.346666844685872
97,worker[5],893604.2075210355,6246182.779826508,date ('2021-05-27 09:28:05'),76.20472283893162,65.69333333333333,37.09805519845751,12.344722400771246
98,worker[5],893613.2428977567,6246160.965919581,date ('2021-05-27 09:28:10'),74.31749856736926,65.70666666666666,36.18333333333333,12.142777699894376
99,worker[5],893622.2782975916,6246139.152022228,date ('2021-05-27 09:28:15'),74.2962485631307,65.72,36.175,12.140833254655202
100,worker[5],893631.3137036115,6246117.338127437,date ('2021-05-27 09:28:20'),78.98611047532823,65.78611111111111,37.51944488949246,12.491666475931803
101,worker[5],893640.3491096313,6246095.5242326455,date ('2021-05-27 09:28:25'),68.42208253012762,65.79930555555555,35.053055153952705,11.94222230248981
102,worker[5],893649.3845156512,6246073.710337855,date ('2021-05-27 09:28:30'),79.03250160217286,65.8125,39.80249967575073,13.139999890327454
103,worker[5],893658.4200864189,6246051.896511303,date ('2021-05-27 09:28:35'),76.54944509930081,65.82569444444444,38.38930559158325,12.737777596049838
104,worker[5],893667.4557234257,6246030.08271219,date ('2021-05-27 09:28:40'),77.62444364759656,65.83888888888889,38.12888895670573,12.687777868906657
105,worker[5],893676.4913604326,6246008.268913076,date ('2021-05-27 09:28:45'),78.19999774297078,65.9,38.56874887148539,12.78541668256124
106,worker[5],893685.5269974396,6245986.455113962,date ('2021-05-27 09:28:50'),71.16055329640706,65.96527777777779,37.20888931486342,12.483055837949117
107,worker[5],893694.5614929459,6245964.640842273,date ('2021-05-27 09:28:55'),78.40458101696439,65.97847222222222,39.552915536032785,13.132499908076392
108,worker[5],893709.8127142467,6245957.829131823,date ('2021-05-27 09:29:00'),87.39500147501627,65.99166666666667,42.34833335876465,13.82999971707662
109,worker[5],893731.6317299982,6245966.852164547,date ('2021-05-27 09:29:05'),63.98027694490221,65.95333333333333,34.730971829096475,11.927500098281437
110,worker[5],893753.9492437544,6245974.344318693,date ('2021-05-27 09:29:10'),65.42083337571886,65.91805555555555,34.97222185134888,11.925000098016527
