ID,name_of_agent,longitude,latitude,buildings_volume,voie_1,voie_2,voie_3,voie_4,voie_5,voie_6,road_0_4_width,road_4_6_width,road_6_8_width,road_8_max_width,distance_to_main_road,bois,foret,haie
13900,leisure[326],896638.7443973587,6244072.149498877,3198.6036562905024,0.0,50.36686506281154,186.03354574971848,0.0,0.0,0.0,50.36686506281154,0.0,186.03354574971848,0.0,11.432351643911357,0.0,0.0,0.0
13901,leisure[326],896633.6660237388,6244049.090993087,344.14304845470826,0.0,39.4561766884202,185.246309448479,0.0,0.0,0.0,39.4561766884202,0.0,185.246309448479,0.0,12.330988896248186,213.1582065778953,0.0,0.0
13902,leisure[326],896628.5876501189,6244026.0324872965,1891.8770809879752,0.0,0.0,184.33602357944972,0.0,0.0,0.0,0.0,0.0,184.33602357944972,0.0,13.229380592966326,642.0622370571049,0.0,0.0
13903,leisure[326],896621.0986363436,6244003.716181829,3013.641546647256,0.0,53.86508652186875,184.84456818117076,0.0,0.0,0.0,0.0,53.86508652186875,184.84456818117076,0.0,11.606575368427544,720.6950000149617,0.0,0.0
13904,leisure[326],896615.7265419749,6243980.7243317515,5052.120757487925,0.0,123.41163945011962,160.71517454526054,0.0,0.0,0.0,5.679103951057461,117.73253549906215,160.71517454526054,0.0,12.202612087140041,845.2211034484867,0.0,0.0
13905,leisure[326],896608.1325430985,6243958.623608744,9333.254528617603,14.199912285502558,186.18805251976403,128.22344183677717,0.0,0.0,0.0,41.46448277772611,158.92348202754047,128.22344183677717,0.0,11.469791094937856,1053.6334115028612,0.0,0.0
13906,leisure[326],896595.6936778732,6243938.605647835,11538.860287889092,37.34817270032294,246.4772116918199,86.6960446039435,0.0,0.0,0.0,91.95876209325328,191.86662229888952,86.6960446039435,0.0,6.59090069848602,454.73462915591244,0.0,0.0
13907,leisure[326],896589.113296426,6243915.966521287,13551.017003210298,60.994526219423214,237.63133669681937,41.595924440778425,0.0,0.0,0.0,139.29082802127334,159.33503489496923,41.595924440778425,0.0,6.493413353957075,194.4233418903943,0.0,0.0
13908,leisure[326],896582.8224139332,6243893.20889915,16052.603744467593,84.73224980280452,261.56134361071173,17.989655678851186,0.0,0.0,0.0,169.25310470070121,177.04048871281503,17.989655678851186,0.0,6.822047802251272,36.602401979512486,0.0,0.0
13909,leisure[326],896576.5315314404,6243870.451277012,18270.95895503969,102.02853271983857,278.6132898696093,0.0,0.0,0.0,0.0,185.70998585549256,194.93183673395524,0.0,0.0,7.150682250545464,3.7075763802944603,0.0,0.0
13910,leisure[326],896570.2406489477,6243847.693654874,14924.660062774401,98.68968279973805,277.7257457413135,0.0,0.0,0.0,0.0,181.85418936555527,194.56123917549627,0.0,0.0,7.479316698839659,147.57363766657966,0.0,0.0
13911,leisure[326],896563.9497664549,6243824.936032737,8298.501488296815,98.95695952407006,276.4368919570293,0.0,0.0,0.0,0.0,181.5579645832591,193.83588689784028,0.0,0.0,7.807951147133853,176.88907796166225,0.0,0.0
13912,leisure[326],896557.0617578453,6243802.3583050445,3934.9735174334733,98.94821955321834,276.12486999477755,0.0,0.0,0.0,0.0,181.30832078276336,193.76476876523253,0.0,0.0,7.9663595001973455,45.81270870416855,0.0,0.0
13913,leisure[326],896549.7344620733,6243779.912920116,2310.365871060775,117.63655754696018,274.9282577875451,0.0,0.0,0.0,0.0,198.40563891700893,194.15917641749633,0.0,0.0,7.992979402676892,0.0,0.0,7.1153782640769965
13914,leisure[326],896542.4071663012,6243757.467535188,3063.381259446615,141.2304518385734,264.47203141349644,0.0,0.0,0.0,0.0,211.32152974142943,194.38095351064044,0.0,0.0,8.01959930504581,414.7551725555077,0.0,593.4872074576907
13915,leisure[326],896535.0798705291,6243735.02215026,3475.9241412118913,184.70624784447864,237.80530819231183,0.0,0.0,0.0,0.0,228.3999861778429,194.11156985894758,0.0,0.0,8.046219207525354,1617.9556572809565,0.0,697.5973753344913
13916,leisure[326],896527.752574757,6243712.576765332,2919.12269809112,162.1299424789117,245.23359739261323,0.0,0.0,0.0,0.0,213.61175035254197,193.75178951898295,0.0,0.0,8.07283910989427,2109.464999981872,0.0,615.808463662128
13917,leisure[326],896522.6455572062,6243691.95346991,1200.4698213009892,119.41300247202055,269.0261868706797,0.0,0.0,0.0,0.0,196.90324224316305,191.53594709953717,0.0,0.0,10.004012785169822,2109.464999981872,0.0,445.16274428041544
13918,leisure[326],896525.05610436,6243680.038869556,240.63508357158918,94.14607372674618,272.31542531704065,0.0,0.0,0.0,0.0,183.72921130727372,182.7322877365131,0.0,0.0,17.0318862488062,2057.882606101049,0.0,282.44046879065525
13919,leisure[326],896519.6911530268,6243664.259291775,0.0,61.028258768723944,279.26569457807454,0.0,0.0,0.0,0.0,158.38579996779254,181.90815337900597,0.0,0.0,18.631408922200688,1508.5146198969658,0.0,64.47938627553175
13920,leisure[326],896514.5100484514,6243648.453854114,0.0,27.098178505141455,283.4704765663153,0.0,0.0,0.0,0.0,130.25163052692574,180.31702454453105,0.0,0.0,20.40914554649019,702.7572252088052,0.0,0.0
