ID,name_of_agent,longitude,latitude,time_of_measure,NO2_concentration,predicted_NO2_concentration,O3_concentration,predicted_O3_concentration,PM10_concentration,predicted_PM10_concentration,PM25_concentration,predicted_PM25_concentration
46,worker[145],902764.9031622882,6247112.707168559,date ('2021-05-27 07:48:50'),34.097223393122356,-122.69693899554704,41.579166666666666,0.0,28.78805603451199,0.0,10.2394445154402,0.0
47,worker[145],902771.5782588226,6247097.435598135,date ('2021-05-27 07:48:55'),34.30694327089522,-41.06968730991276,41.57708333333333,0.0,28.794861592186823,0.0,10.241388959354824,0.0
48,worker[145],902774.0088235557,6247084.131720996,date ('2021-05-27 07:49:00'),34.49833285013835,-28.62064406529199,41.574999999999996,0.0,28.820000553131102,0.0,10.24333340326945,0.0
49,worker[145],902758.0363158876,6247079.371807492,date ('2021-05-27 07:49:05'),34.890000624126856,-58.958528766187406,41.572916666666664,0.0,28.926666042539807,0.0,10.245277847184076,0.0
50,worker[145],902742.0908369331,6247074.522257432,date ('2021-05-27 07:49:10'),34.90000062518649,-124.54437799191389,41.57083333333333,0.0,28.933332708146835,0.0,10.247222291098701,0.0
51,worker[145],902726.1494989942,6247069.658974334,date ('2021-05-27 07:49:15'),35.20999986330668,-175.15430623780256,41.568749999999994,0.0,28.55791649023692,0.0,10.28500003417333,0.0
52,worker[145],902710.5753555876,6247063.871386896,date ('2021-05-27 07:49:20'),35.62000139024523,-196.27205049581053,41.56666666666666,0.0,28.64666680230035,0.0,10.286666700575086,0.0
53,worker[145],902698.0306200971,6247052.97323437,date ('2021-05-27 07:49:25'),35.812359719806246,-158.10429815776632,41.54694444444444,0.0,28.753333512941996,0.0,10.288333366976843,0.0
54,worker[145],902685.7040480638,6247041.755685632,date ('2021-05-27 07:49:30'),36.40500049591064,-100.23606483896137,41.545,0.0,28.860000562667846,0.0,10.2900000333786,0.0
55,worker[145],902673.4823075761,6247030.424176687,date ('2021-05-27 07:49:35'),37.09791786140866,-29.998116523859267,41.543055555555554,0.0,28.96666603618198,0.0,10.291666699780357,0.0
56,worker[145],902661.2715559123,6247019.080662803,date ('2021-05-27 07:49:40'),37.67388875749376,8.129238323891677,41.54111111111111,0.0,28.990554989708794,0.0,10.393333583407932,0.0
57,worker[145],902649.0448381042,6247007.754361433,date ('2021-05-27 07:49:45'),38.384583965937296,-12.244204388698744,41.53916666666667,0.0,29.079999748865763,0.0,10.395000251134237,0.0
